symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2016-10-28 00:00:00+00:00,113.72,115.21,113.45,113.87,37861662,26.7432297604,27.0936290951,26.6797345789,26.7785048612,151446648,0.0,1.0
AAPL,2016-10-31 00:00:00+00:00,113.54,114.23,113.2,113.65,26419398,26.7008996394,26.8631651031,26.6209427442,26.7267680466,105677592,0.0,1.0
AAPL,2016-11-01 00:00:00+00:00,111.49,113.77,110.53,113.46,43825812,26.218806595,26.7549881273,25.9930459498,26.6820862523,175303248,0.0,1.0
AAPL,2016-11-02 00:00:00+00:00,111.59,112.35,111.23,111.4,28331709,26.2423233289,26.4210505063,26.1576630869,26.1976415345,113326836,0.0,1.0
AAPL,2016-11-03 00:00:00+00:00,109.83,111.46,109.55,110.98,26932602,25.9624741958,26.3477863413,25.8962856064,26.234320188,107730408,0.57,1.0
AAPL,2016-11-04 00:00:00+00:00,108.84,110.25,108.11,108.53,30836997,25.7284502546,26.0617570799,25.5558871465,25.6551700307,123347988,0.0,1.0
AAPL,2016-11-07 00:00:00+00:00,110.41,110.51,109.46,110.08,32560000,26.099579131,26.1232179129,25.8750107026,26.0215711506,130240000,0.0,1.0
AAPL,2016-11-08 00:00:00+00:00,111.06,111.72,109.7,110.31,24254179,26.2532312135,26.4092471743,25.9317437793,26.075940349,97016716,0.0,1.0
AAPL,2016-11-09 00:00:00+00:00,110.88,111.32,108.05,109.88,59176361,26.2106814061,26.3146920466,25.5417038774,25.9742935867,236705444,0.0,1.0
AAPL,2016-11-10 00:00:00+00:00,107.79,111.09,105.83,111.09,57134541,25.4802430444,26.2603228481,25.0169229185,26.2603228481,228538164,0.0,1.0
AAPL,2016-11-11 00:00:00+00:00,108.43,108.87,106.55,106.92,34143898,25.6315312487,25.7355418892,25.1871221484,25.2745856416,136575592,0.0,1.0
AAPL,2016-11-14 00:00:00+00:00,105.71,107.809,104.08,107.32,51175504,24.9885563802,25.4847344129,24.6032442347,25.3691407693,204702016,0.0,1.0
AAPL,2016-11-15 00:00:00+00:00,107.11,107.68,106.1593,106.57,32264510,25.3194993272,25.4542403842,25.0947654274,25.1918499048,129058040,0.0,1.0
